,deprecated API,replacement API,extracted_text,PROPOSED_REPLACEMENT
41,scipy.constants.C2F,scipy.constants.convert_temperature,"{'message=""scipy.constants.C2F is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_teperature instead. ""                       ""Note that the new function has a different signature.""', 'message=""scipy.constants.C2F is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_temperature instead. ""                       ""Note that the new function has a different signature.""'}","{'scipy.constants.convert_teperature', 'scipy.constants.convert_temperature'}"
42,scipy.constants.F2C,scipy.constants.convert_temperature,"{'message=""scipy.constants.F2C is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_teperature instead. ""                       ""Note that the new function has a different signature.""', 'message=""scipy.constants.F2C is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_temperature instead. ""                       ""Note that the new function has a different signature.""'}","{'scipy.constants.convert_teperature', 'scipy.constants.convert_temperature'}"
43,scipy.constants.F2K,scipy.constants.convert_temperature,"{'message=""scipy.constants.F2K is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_temperature instead. ""                       ""Note that the new function has a different signature.""', 'message=""scipy.constants.F2K is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_teperature instead. ""                       ""Note that the new function has a different signature.""'}","{'scipy.constants.convert_teperature', 'scipy.constants.convert_temperature'}"
44,scipy.constants.K2F,scipy.constants.convert_temperature,"{'message=""scipy.constants.K2F is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_teperature instead. ""                       ""Note that the new function has a different signature.""', 'message=""scipy.constants.K2F is deprecated in scipy 0.18.0. ""                       ""Use scipy.constants.convert_temperature instead. ""                       ""Note that the new function has a different signature.""'}","{'scipy.constants.convert_teperature', 'scipy.constants.convert_temperature'}"
45,scipy.stats.histogram,numpy.histogram,"{'message=(""scipy.stats.histogram is deprecated in scipy 0.17.0; ""                       ""use np.histogram instead""', 'message=(""scipy.stats.histogram2 is deprecated in scipy 0.16.0; ""                       ""use np.histogram2d instead""'}","{'np.histogram2d', 'np.histogram'}"
46,scipy.stats.threshold,numpy.clip,"{'message=""mstats.threshold is deprecated in scipy 0.17.0""', 'message=""stats.threshold is deprecated in scipy 0.17.0""'}",set()
47,scipy.mstats.threshold,np.clip,set(),set()
50,scipy.stats.chisqprob,stats.chi2.sf,"{'message=""stats.chisqprob is deprecated in scipy 0.17.0; ""              ""use stats.distributions.chi2.sf instead.""'}",{'stats.distributions.chi2.sf'}
55,scipy.stats.betai,scipy.special.betainc,"{'message=""stats.betai is deprecated in scipy 0.17.0; ""              ""use special.betainc instead""', 'message=""mstats.betai is deprecated in scipy 0.17.0; ""              ""use special.betainc instead.""'}",{'special.betainc'}
56,scipy.stats.pdf_fromgamma,statsmodels.distributions.ExpandedNormal,"{'message=""scipy.stats.pdf_fromgamma is deprecated in scipy 0.16.0 ""                      ""in favour of statsmodels.distributions.ExpandedNormal.""'}",set()
57,scipy.stats.fastsort,numpy.argsort,"{'message=""scipy.stats.fastsort is deprecated in scipy 0.16.0""'}",set()
59,scipy.stats.histogram2,numpy.histogram2d,"{'message=(""scipy.stats.histogram2 is deprecated in scipy 0.16.0; ""                       ""use np.histogram2d instead""'}",{'np.histogram2d'}
60,scipy.signal.hanning,hann,"{""new_name='scipy.signal.windows.hann'""}",set()
75,scipy.spatial.Rotation.match_vectors,Rotation.align_vectors,set(),set()
76,scipy.spatial.transform.Rotation.as_dcm,as_matrix,set(),set()
80,scipy.sparse.bsr_matrix.matvec,scipy.sparse.identity,set(),set()
102,scipy.linalg.expm2,scipy.linalg.expm,"{'new_name=""expm""'}",set()
103,scipy.linalg.expm3,scipy.linalg.expm,"{'new_name=""expm""'}",set()
104,scipy.stats.oneway,scipy.stats.f_oneway,"{'message=""""""scipy.stats.pdfapprox is broken. It will be removed from scipy in 0.9unless it is fixed.""""""', 'message=""""""scipy.stats.pdf_moments is broken. It will be removed from scipy in 0.9unless it is fixed.""""""'}",set()
105,scipy.stats.glm,scipy.stats.ttest_ind,"{'message=""""""scipy.stats.samplestd is deprecated; please update your code to usenumpy.std.Please note that `numpy.std` axis argument defaults to None, not 0.""""""', 'special.erfc, old_name=""scipy.stats.erfc"",                                      new_name=""scipy.special.erfc""', 'message=""""""scipy.stats.stderr is deprecated; please update your code to usescipy.stats.sem.""""""', 'message=""""""scipy.stats.zs is deprecated; please update your code to usescipy.stats.zscore.""""""', 'message=""""""scipy.stats.samplevar is deprecated; please update your code to usenumpy.var.Please note that `numpy.var` axis argument defaults to None, not 0.""""""', 'message=""Deprecated in scipy 0.13.0 - use numpy.median instead.""', 'message=""""""scipy.stats.z is deprecated; please update your code to usescipy.stats.zscore_compare.""""""'}",set()
106,scipy.stats.cmedian,numpy.median,"{'message=""""""scipy.stats.samplestd is deprecated; please update your code to usenumpy.std.Please note that `numpy.std` axis argument defaults to None, not 0.""""""', 'special.erfc, old_name=""scipy.stats.erfc"",                                      new_name=""scipy.special.erfc""', 'message=""""""scipy.stats.stderr is deprecated; please update your code to usescipy.stats.sem.""""""', 'message=""""""scipy.stats.zs is deprecated; please update your code to usescipy.stats.zscore.""""""', 'message=""""""scipy.stats.samplevar is deprecated; please update your code to usenumpy.var.Please note that `numpy.var` axis argument defaults to None, not 0.""""""', 'message=""Deprecated in scipy 0.13.0 - use numpy.median instead.""', 'message=""""""scipy.stats.z is deprecated; please update your code to usescipy.stats.zscore_compare.""""""'}",set()
